model,ZeroOk
LNL,C02_Wait;Contested_Accesses;Data_Sharing;False_Sharing
GNR,Remote_Cache;C02_Wait;Contested_Accesses;Data_Sharing;False_Sharing
MTL,C02_Wait;Contested_Accesses;Data_Sharing;False_Sharing
SPR-HBM,Remote_Cache;C02_Wait;Contested_Accesses;Data_Sharing;False_Sharing
SPR,Remote_Cache;C02_Wait;Contested_Accesses;Data_Sharing;False_Sharing
ADL,C02_Wait;Contested_Accesses;Data_Sharing;False_Sharing
TGL,Contested_Accesses;Data_Sharing;False_Sharing
ICX,Remote_Cache;Contested_Accesses;Data_Sharing;False_Sharing
CLX,Remote_Cache;Contested_Accesses;Data_Sharing;False_Sharing
SKL,Contested_Accesses;Data_Sharing;False_Sharing
SKX,Contested_Accesses;Data_Sharing;False_Sharing
